#,Clube,Nome,Gols,Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore,Categoria,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol
1,FC Bayern München,Robert Lewandowski,15.0,11.0,12.0,52.0,28.85,8.35,8.35,Ataque,,,,,,,,,,,,,,
2,Borussia Dortmund,Erling Haaland,10.0,2.0,6.0,21.0,47.62,7.48,7.48,Ataque,,,,,,,,,,,,,,
3,FC Bayern München,Serge Gnabry,9.0,0.0,12.0,27.0,33.33,7.74,7.74,Ataque,,,,,,,,,,,,,,
4,Tottenham Hotspur,Harry Kane,6.0,4.0,8.0,23.0,26.09,7.96,7.96,Ataque,,,,,,,,,,,,,,
5,Manchester City,Gabriel Jesus,6.0,6.0,16.0,25.0,24.0,7.56,7.56,Ataque,,,,,,,,,,,,,,
6,Manchester City,Raheem Sterling,6.0,6.0,18.0,24.0,25.0,7.52,7.52,Ataque,,,,,,,,,,,,,,
7,Napoli,Dries Mertens,6.0,2.0,2.0,21.0,28.57,7.45,7.45,Ataque,,,,,,,,,,,,,,
8,Olympique Lyonnais,Memphis Depay,6.0,2.0,14.0,21.0,28.57,7.28,7.28,Ataque,,,,,,,,,,,,,,
9,Barcelona,Luis Suárez,5.0,2.0,8.0,22.0,22.73,7.6,7.6,Ataque,,,,,,,,,,,,,,
10,Atalanta,Josip Iličić,5.0,1.0,21.0,15.0,33.33,7.54,7.54,Ataque,,,,,,,,,,,,,,
11,Real Madrid,Karim Benzema,5.0,7.0,10.0,31.0,16.13,7.54,7.54,Ataque,,,,,,,,,,,,,,
12,Tottenham Hotspur,Heung-min Son,5.0,4.0,13.0,18.0,27.78,7.45,7.45,Ataque,,,,,,,,,,,,,,
13,Paris Saint-Germain,Kylian Mbappé,5.0,10.0,15.0,30.0,16.67,7.23,7.23,Ataque,,,,,,,,,,,,,,
14,Inter,Lautaro Martínez,5.0,2.0,7.0,25.0,20.0,7.17,7.17,Ataque,,,,,,,,,,,,,,
15,Paris Saint-Germain,Mauro Icardi,5.0,2.0,1.0,12.0,41.67,7.07,7.07,Ataque,,,,,,,,,,,,,,
16,Real Madrid,Rodrygo,4.0,1.0,9.0,8.0,50.0,7.68,7.68,Ataque,,,,,,,,,,,,,,
17,Borussia Dortmund,Achraf Hakimi,4.0,0.0,17.0,16.0,25.0,7.55,7.55,Ataque,,,,,,,,,,,,,,
18,RB Leipzig,Emil Forsberg,4.0,0.0,12.0,20.0,20.0,7.4,7.4,Ataque,,,,,,,,,,,,,,
19,Juventus,Cristiano Ronaldo,4.0,2.0,14.0,40.0,10.0,7.33,7.33,Ataque,,,,,,,,,,,,,,
20,Liverpool,Mohamed Salah,4.0,7.0,24.0,36.0,11.11,7.24,7.24,Ataque,,,,,,,,,,,,,,
21,RB Leipzig,Marcel Sabitzer,4.0,0.0,5.0,22.0,18.18,7.16,7.16,Ataque,,,,,,,,,,,,,,
22,FC Bayern München,Thomas Müller,4.0,3.0,5.0,20.0,20.0,7.14,7.14,Ataque,,,,,,,,,,,,,,
23,RB Leipzig,Timo Werner,4.0,3.0,7.0,29.0,13.79,7.14,7.14,Ataque,,,,,,,,,,,,,,
24,AFC Ajax,Quincy Promes,4.0,1.0,6.0,14.0,28.57,7.12,7.12,Ataque,,,,,,,,,,,,,,
25,GNK Dinamo Zagreb,Mislav Oršić,4.0,1.0,4.0,17.0,23.53,7.03,7.03,Ataque,,,,,,,,,,,,,,
26,Barcelona,Lionel Messi,3.0,4.0,57.0,31.0,9.68,8.01,8.01,Ataque,,,,,,,,,,,,,,
27,Paris Saint-Germain,Ángel Di María,3.0,4.0,15.0,20.0,15.0,7.73,7.73,Ataque,,,,,,,,,,,,,,
28,Paris Saint-Germain,Neymar,3.0,4.0,43.0,24.0,12.5,7.71,7.71,Ataque,,,,,,,,,,,,,,
29,Red Bull Salzburg,Hee-Chan Hwang,3.0,0.0,8.0,14.0,21.43,7.7,7.7,Ataque,,,,,,,,,,,,,,
30,Liverpool,Alex Oxlade-Chamberlain,3.0,0.0,9.0,13.0,23.08,7.56,7.56,Ataque,,,,,,,,,,,,,,
31,Benfica,Pizzi,3.0,0.0,4.0,10.0,30.0,7.53,7.53,Ataque,,,,,,,,,,,,,,
32,Atlético Madrid,João Félix,3.0,0.0,7.0,19.0,15.79,7.42,7.42,Ataque,,,,,,,,,,,,,,
33,Juventus,Paulo Dybala,3.0,1.0,12.0,13.0,23.08,7.38,7.38,Ataque,,,,,,,,,,,,,,
34,FC Bayern München,Philippe Coutinho,3.0,1.0,16.0,34.0,8.82,7.32,7.32,Ataque,,,,,,,,,,,,,,
35,FC Bayern München,Corentin Tolisso,3.0,1.0,1.0,14.0,21.43,7.18,7.18,Ataque,,,,,,,,,,,,,,
36,FC Bayern München,Ivan Perišić,3.0,3.0,2.0,17.0,17.65,7.17,7.17,Ataque,,,,,,,,,,,,,,
37,Atalanta,Mario Pašalić,3.0,5.0,10.0,16.0,18.75,7.03,7.03,Ataque,,,,,,,,,,,,,,
