#,Clube,Nome,Gols,Grandes chances perdidas,Dribles certos,Finalizações,Conversão de gols %,Notas Sofascore,Nota Sofascore,Categoria,Desarmes,Interceptações,Cortes,Erros que levaram ao gol,Grandes chances criadas,Assistências,Passes certos,Passes certos %,Passes decisivos,Defesas,Jogos sem ser vazado,Pênalti defendido,Defesas de dentro da área,Saídas do gol
1,Real Madrid,Cristiano Ronaldo,15.0,12.0,22.0,82.0,18.29,8.11,8.11,Ataque,,,,,,,,,,,,,,
2,Liverpool,Mohamed Salah,10.0,3.0,28.0,43.0,23.26,7.86,7.86,Ataque,,,,,,,,,,,,,,
3,Liverpool,Sadio Mané,10.0,4.0,38.0,31.0,32.26,7.77,7.77,Ataque,,,,,,,,,,,,,,
4,Liverpool,Roberto Firmino,10.0,5.0,23.0,42.0,23.81,7.77,7.77,Ataque,,,,,,,,,,,,,,
5,Sevilla,Wissam Ben Yedder,8.0,4.0,5.0,23.0,34.78,7.48,7.48,Ataque,,,,,,,,,,,,,,
6,Roma,Edin Džeko,8.0,3.0,9.0,46.0,17.39,7.42,7.42,Ataque,,,,,,,,,,,,,,
7,Tottenham Hotspur,Harry Kane,7.0,4.0,20.0,32.0,21.88,7.9,7.9,Ataque,,,,,,,,,,,,,,
8,Paris Saint-Germain,Edinson Cavani,7.0,3.0,0.0,27.0,25.93,7.29,7.29,Ataque,,,,,,,,,,,,,,
9,Paris Saint-Germain,Neymar,6.0,5.0,51.0,28.0,21.43,8.73,8.73,Ataque,,,,,,,,,,,,,,
10,Barcelona,Lionel Messi,6.0,3.0,37.0,44.0,13.64,7.88,7.88,Ataque,,,,,,,,,,,,,,
11,Liverpool,Philippe Coutinho,5.0,0.0,17.0,14.0,35.71,8.24,8.24,Ataque,,,,,,,,,,,,,,
12,FC Porto,Vincent Aboubakar,5.0,1.0,2.0,15.0,33.33,7.4,7.4,Ataque,,,,,,,,,,,,,,
13,Manchester United,Romelu Lukaku,5.0,6.0,15.0,26.0,19.23,7.39,7.39,Ataque,,,,,,,,,,,,,,
14,Juventus,Gonzalo Higuaín,5.0,4.0,18.0,24.0,20.83,7.34,7.34,Ataque,,,,,,,,,,,,,,
15,Real Madrid,Karim Benzema,5.0,4.0,13.0,18.0,27.78,7.24,7.24,Ataque,,,,,,,,,,,,,,
16,FC Bayern München,Robert Lewandowski,5.0,8.0,8.0,46.0,10.87,7.11,7.11,Ataque,,,,,,,,,,,,,,
